account_id,customer_name,branch_id,city,state,region,product_type,currency,open_date,risk_segment
ACC10040,Customer 041,BR01,Austin,TX,South,SAVINGS,GBP,2020-09-17,Low
ACC10041,Customer 042,BR02,Dallas,TX,South,CREDIT_CARD,EUR,2023-04-23,Medium
ACC10042,Customer 043,BR03,Chicago,IL,Midwest,SAVINGS,EUR,2022-04-28,Low
ACC10043,Customer 044,BR04,New York,NY,Northeast,SAVINGS,USD,2018-07-12,High
ACC10044,Customer 045,BR05,Seattle,WA,West,CHECKING,USD,2021-11-09,Low
ACC10045,Customer 046,BR06,Denver,CO,West,CHECKING,EUR,2021-03-04,Low
ACC10046,Customer 047,BR07,Atlanta,GA,South,SAVINGS,GBP,2018-02-09,Medium
ACC10047,Customer 048,BR08,Boston,MA,Northeast,MONEY_MARKET,USD,2020-05-14,Medium
ACC10048,Customer 049,BR01,Austin,TX,South,CHECKING,USD,2018-07-09,Low
ACC10049,Customer 050,BR02,Dallas,TX,South,CREDIT_CARD,EUR,2020-04-11,Low
ACC10050,Customer 051,BR03,Chicago,IL,Midwest,CHECKING,USD,2019-01-12,Low
ACC10051,Customer 052,BR04,New York,NY,Northeast,SAVINGS,EUR,2018-07-26,Low
ACC10052,Customer 053,BR05,Seattle,WA,West,MONEY_MARKET,USD,2019-08-23,Low
ACC10053,Customer 054,BR06,Denver,CO,West,MONEY_MARKET,USD,2019-11-25,Low
ACC10054,Customer 055,BR07,Atlanta,GA,South,SAVINGS,USD,2018-10-30,Low
ACC10055,Customer 056,BR08,Boston,MA,Northeast,MONEY_MARKET,USD,2022-04-15,Low
ACC10056,Customer 057,BR01,Austin,TX,South,SAVINGS,USD,2021-09-04,High
ACC10057,Customer 058,BR02,Dallas,TX,South,SAVINGS,USD,2021-02-17,Low
ACC10058,Customer 059,BR03,Chicago,IL,Midwest,MONEY_MARKET,USD,2023-03-23,Low
ACC10059,Customer 060,BR04,New York,NY,Northeast,SAVINGS,GBP,2020-05-27,Low
ACC10060,Customer 061,BR05,Seattle,WA,West,SAVINGS,EUR,2018-01-20,Low
ACC10061,Customer 062,BR06,Denver,CO,West,MONEY_MARKET,USD,2021-01-13,Low
ACC10062,Customer 063,BR07,Atlanta,GA,South,CREDIT_CARD,EUR,2018-08-26,Medium
ACC10063,Customer 064,BR08,Boston,MA,Northeast,SAVINGS,EUR,2021-12-24,Medium
ACC10064,Customer 065,BR01,Austin,TX,South,SAVINGS,USD,2021-05-14,Low
ACC10065,Customer 066,BR02,Dallas,TX,South,MONEY_MARKET,USD,2018-03-16,Low
ACC10066,Customer 067,BR03,Chicago,IL,Midwest,CREDIT_CARD,USD,2019-09-12,Medium
ACC10067,Customer 068,BR04,New York,NY,Northeast,MONEY_MARKET,GBP,2019-09-27,High
ACC10068,Customer 069,BR05,Seattle,WA,West,CREDIT_CARD,USD,2021-05-28,Low
ACC10069,Customer 070,BR06,Denver,CO,West,CREDIT_CARD,GBP,2023-02-16,Low
ACC10070,Customer 071,BR07,Atlanta,GA,South,CREDIT_CARD,USD,2019-08-21,High
ACC10071,Customer 072,BR08,Boston,MA,Northeast,SAVINGS,USD,2022-11-19,Medium
ACC10072,Customer 073,BR01,Austin,TX,South,MONEY_MARKET,GBP,2019-03-23,Low
ACC10073,Customer 074,BR02,Dallas,TX,South,MONEY_MARKET,USD,2019-09-24,Medium
ACC10074,Customer 075,BR03,Chicago,IL,Midwest,SAVINGS,USD,2020-03-31,Low
ACC10075,Customer 076,BR04,New York,NY,Northeast,SAVINGS,EUR,2022-02-02,Low
ACC10076,Customer 077,BR05,Seattle,WA,West,CHECKING,GBP,2023-03-11,Low
ACC10077,Customer 078,BR06,Denver,CO,West,CHECKING,USD,2022-07-21,Low
ACC10078,Customer 079,BR07,Atlanta,GA,South,CREDIT_CARD,USD,2020-01-05,Medium
ACC10079,Customer 080,BR08,Boston,MA,Northeast,CREDIT_CARD,USD,2019-01-28,Low
