txn_id,account_id,txn_date,amount,txn_type,channel,description,source
TXN00025,ACC1000,2024-01-29,4268.48,DEBIT,ACH,Payment 25,internal
TXN00026,ACC1022,2024-02-05,1414.11,CREDIT,CHECK,Payment 26,internal
TXN00027,ACC1012,2024-04-04,2789.59,DEBIT,CHECK,Payment 27,internal
TXN00028,ACC1010,2024-04-07,2037.87,CREDIT,ACH,Payment 28,internal
TXN00029,ACC1002,2024-01-11,123.33,DEBIT,CHECK,Payment 29,internal
TXN00030,ACC1017,2024-01-20,2314.77,DEBIT,CARD,Payment 30,internal
TXN00031,ACC1012,2024-03-24,770.04,CREDIT,CARD,Payment 31,internal
TXN00032,ACC1005,2024-02-06,1911.3,DEBIT,CHECK,Payment 32,internal
TXN00033,ACC1023,2024-01-11,1815.44,CREDIT,ACH,Payment 33,internal
TXN00034,ACC1009,2024-04-19,4809.87,CREDIT,CHECK,Payment 34,internal
TXN00035,ACC1019,2024-04-26,1336.69,CREDIT,CHECK,Payment 35,internal
TXN00036,ACC1019,2024-02-23,3587.28,DEBIT,WIRE,Payment 36,internal
TXN00037,ACC1011,2024-04-18,490.99,CREDIT,CARD,Payment 37,internal
TXN00038,ACC1018,2024-02-06,1019.79,DEBIT,CARD,Payment 38,internal
TXN00039,ACC1011,2024-04-12,892.1,CREDIT,CHECK,Payment 39,internal
TXN00040,ACC1016,2024-02-21,3600.12,CREDIT,CHECK,Payment 40,internal
TXN00041,ACC1002,2024-03-18,2924.65,DEBIT,ACH,Payment 41,internal
TXN00042,ACC1019,2024-01-05,2084.88,CREDIT,CARD,Payment 42,internal
TXN00043,ACC1016,2024-01-18,1656.01,DEBIT,ACH,Payment 43,internal
TXN00044,ACC1019,2024-01-21,2942.35,CREDIT,ATM,Payment 44,internal
TXN00045,ACC1011,2024-02-11,2909.5,DEBIT,CARD,Payment 45,internal
TXN00046,ACC1003,2024-04-25,123.79,CREDIT,CARD,Payment 46,internal
TXN00047,ACC1001,2024-01-10,3915.85,CREDIT,CARD,Payment 47,internal
TXN00048,ACC1011,2024-04-22,2458.63,CREDIT,CARD,Payment 48,internal
TXN00049,ACC1020,2024-02-02,2372.71,DEBIT,WIRE,Payment 49,internal
TXN00050,ACC1021,2024-02-22,2608.16,CREDIT,ACH,Payment 50,internal
TXN00051,ACC1000,2024-04-17,4133.2,DEBIT,ACH,Payment 51,internal
TXN00052,ACC1007,2024-01-14,2774.64,DEBIT,CHECK,Payment 52,internal
TXN00053,ACC1006,2024-03-20,1413.36,DEBIT,CHECK,Payment 53,internal
TXN00054,ACC1008,2024-01-13,3845.55,DEBIT,ATM,Payment 54,internal
TXN00055,ACC1005,2024-01-05,1158.77,CREDIT,CARD,Payment 55,internal
TXN00056,ACC1007,2024-04-09,1860.9,CREDIT,ATM,Payment 56,internal
TXN00057,ACC1005,2024-04-24,1592.52,DEBIT,WIRE,Payment 57,internal
TXN00058,ACC1022,2024-01-31,2580.14,DEBIT,ATM,Payment 58,internal
TXN00059,ACC1013,2024-01-06,831.39,CREDIT,CARD,Payment 59,internal
TXN00060,ACC1003,2024-04-17,4961.95,CREDIT,CHECK,Payment 60,internal
TXN00061,ACC1005,2024-04-17,4455.05,CREDIT,CARD,Payment 61,internal
TXN00062,ACC1000,2024-04-02,1586.49,CREDIT,CHECK,Payment 62,internal
TXN00063,ACC1022,2024-01-12,1874.55,DEBIT,CHECK,Payment 63,internal
TXN00064,ACC1000,2024-04-22,1319.68,DEBIT,WIRE,Payment 64,internal
TXN00065,ACC1001,2024-04-09,622.56,DEBIT,ACH,Payment 65,internal
TXN00066,ACC1009,2024-03-12,904.55,DEBIT,ATM,Payment 66,internal
TXN00067,ACC1007,2024-02-07,990.21,DEBIT,CHECK,Payment 67,internal
TXN00068,ACC1012,2024-03-01,4859.41,CREDIT,ACH,Payment 68,internal
TXN00069,ACC1004,2024-01-28,79.54,CREDIT,ACH,Payment 69,internal
TXN00070,ACC1024,2024-01-15,3391.52,CREDIT,CARD,Payment 70,internal
TXN00071,ACC1019,2024-03-10,3474.37,CREDIT,ACH,Payment 71,internal
TXN00072,ACC1000,2024-03-26,4022.58,CREDIT,CHECK,Payment 72,internal
TXN00073,ACC1010,2024-01-15,663.98,DEBIT,ATM,Payment 73,internal
TXN00074,ACC1024,2024-02-06,1993.92,CREDIT,CARD,Payment 74,internal
TXN00075,ACC1007,2024-04-24,3317.69,DEBIT,WIRE,Payment 75,internal
TXN00076,ACC1012,2024-01-03,4624.79,DEBIT,CARD,Payment 76,internal
TXN00077,ACC1021,2024-01-13,3173.54,DEBIT,ACH,Payment 77,internal
TXN00078,ACC1000,2024-04-25,2101.38,CREDIT,CARD,Payment 78,internal
TXN00079,ACC1018,2024-04-06,4665.79,CREDIT,CARD,Payment 79,internal
TXN00080,ACC1021,2024-01-03,3925.97,DEBIT,ACH,Payment 80,internal
TXN00081,ACC1006,2024-04-05,4148.85,CREDIT,WIRE,Payment 81,internal
TXN00082,ACC1019,2024-03-13,2658.54,DEBIT,ATM,Payment 82,internal
TXN00083,ACC1007,2024-02-19,3019.5,CREDIT,WIRE,Payment 83,internal
TXN00084,ACC1002,2024-03-19,2135.15,DEBIT,ATM,Payment 84,internal
TXN00085,ACC1013,2024-01-30,2274.95,CREDIT,WIRE,Payment 85,internal
TXN00086,ACC1021,2024-04-07,3732.61,DEBIT,ACH,Payment 86,internal
TXN00087,ACC1011,2024-03-12,342.13,CREDIT,ACH,Payment 87,internal
TXN00088,ACC1007,2024-02-07,4125.07,DEBIT,ACH,Payment 88,internal
TXN00089,ACC1014,2024-01-20,4605.64,CREDIT,WIRE,Payment 89,internal
TXN00090,ACC1011,2024-01-14,776.53,DEBIT,ACH,Payment 90,internal
TXN00091,ACC1004,2024-01-21,286.42,DEBIT,ACH,Payment 91,internal
TXN00092,ACC1012,2024-03-22,2959.81,DEBIT,WIRE,Payment 92,internal
TXN00093,ACC1024,2024-03-01,1596.78,DEBIT,ATM,Payment 93,internal
TXN00094,ACC1013,2024-01-06,4257.15,CREDIT,ACH,Payment 94,internal
TXN00095,ACC1005,2024-01-30,1191.36,DEBIT,CARD,Payment 95,internal
TXN00096,ACC1007,2024-01-06,2087.15,CREDIT,WIRE,Payment 96,internal
TXN00097,ACC1022,2024-01-13,2623.53,CREDIT,ATM,Payment 97,internal
TXN00098,ACC1010,2024-04-20,269.29,DEBIT,ACH,Payment 98,internal
TXN00099,ACC1020,2024-04-18,4219.44,CREDIT,ATM,Payment 99,internal
TXN00100,ACC1014,2024-04-03,4012.11,DEBIT,CHECK,Payment 100,internal
TXN00101,ACC1018,2024-01-17,3897.19,DEBIT,CARD,Payment 101,internal
TXN00102,ACC1024,2024-04-12,2575.97,DEBIT,CARD,Payment 102,internal
TXN00103,ACC1017,2024-03-17,1931.6,CREDIT,WIRE,Payment 103,internal
TXN00104,ACC1010,2024-02-27,707.44,CREDIT,CARD,Payment 104,internal
TXN00105,ACC1008,2024-02-14,1170.52,DEBIT,WIRE,Payment 105,internal
TXN00106,ACC1010,2024-02-15,1644.2,CREDIT,CHECK,Payment 106,internal
TXN00107,ACC1019,2024-04-23,1491.41,DEBIT,ATM,Payment 107,internal
TXN00108,ACC1019,2024-02-09,2409.74,CREDIT,CARD,Payment 108,internal
TXN00109,ACC1012,2024-03-19,4244.32,CREDIT,ATM,Payment 109,internal
TXN00110,ACC1019,2024-03-16,2668.28,CREDIT,WIRE,Payment 110,internal
TXN00111,ACC1000,2024-01-25,3677.12,DEBIT,CHECK,Payment 111,internal
TXN00112,ACC1022,2024-01-16,4304.99,DEBIT,CHECK,Payment 112,internal
TXN00113,ACC1015,2024-03-28,484.53,DEBIT,ACH,Payment 113,internal
TXN00114,ACC1018,2024-01-17,4680.34,DEBIT,ATM,Payment 114,internal
TXN00115,ACC1010,2024-03-12,4006.41,CREDIT,CHECK,Payment 115,internal
TXN00116,ACC1023,2024-04-23,3977.62,CREDIT,WIRE,Payment 116,internal
TXN00117,ACC1001,2024-01-12,2954.48,DEBIT,CHECK,Payment 117,internal
TXN00118,ACC1003,2024-03-08,864.74,CREDIT,CARD,Payment 118,internal
TXN00119,ACC1016,2024-03-03,2335.27,DEBIT,CHECK,Payment 119,internal
TXN00120,ACC1012,2024-02-29,3998.23,CREDIT,CARD,Payment 120,internal
TXN00121,ACC1021,2024-01-15,4656.87,DEBIT,ACH,Payment 121,internal
TXN00122,ACC1012,2024-03-19,447.67,DEBIT,CARD,Payment 122,internal
TXN00123,ACC1005,2024-03-21,3873.86,DEBIT,WIRE,Payment 123,internal
TXN00124,ACC1020,2024-04-01,4492.85,DEBIT,WIRE,Payment 124,internal
TXN00125,ACC1013,2024-02-07,1827.32,CREDIT,ACH,Payment 125,internal
TXN00126,ACC1002,2024-04-22,747.44,DEBIT,CARD,Payment 126,internal
TXN00127,ACC1003,2024-03-28,1922.77,CREDIT,CARD,Payment 127,internal
TXN00128,ACC1009,2024-04-03,4681.34,DEBIT,CARD,Payment 128,internal
TXN00129,ACC1016,2024-04-28,1888.03,CREDIT,CHECK,Payment 129,internal
TXN00130,ACC1010,2024-01-15,4756.46,CREDIT,ATM,Payment 130,internal
TXN00131,ACC1003,2024-01-15,3189.0,CREDIT,CARD,Payment 131,internal
TXN00132,ACC1013,2024-01-02,3433.62,CREDIT,CARD,Payment 132,internal
TXN00133,ACC1010,2024-02-05,4128.74,DEBIT,CARD,Payment 133,internal
TXN00134,ACC1000,2024-02-06,2217.15,DEBIT,ATM,Payment 134,internal
TXN00135,ACC1013,2024-01-14,3908.66,CREDIT,ATM,Payment 135,internal
TXN00136,ACC1017,2024-02-04,4397.21,DEBIT,ATM,Payment 136,internal
TXN00137,ACC1016,2024-04-29,541.03,CREDIT,CHECK,Payment 137,internal
TXN00138,ACC1015,2024-01-11,3254.12,DEBIT,ATM,Payment 138,internal
TXN00139,ACC1006,2024-01-29,154.71,CREDIT,ACH,Payment 139,internal
TXN00140,ACC1020,2024-01-24,3886.07,CREDIT,ATM,Payment 140,internal
TXN00141,ACC1022,2024-01-05,3284.78,CREDIT,ACH,Payment 141,internal
TXN00142,ACC1020,2024-03-13,267.77,DEBIT,ATM,Payment 142,internal
TXN00143,ACC1007,2024-04-11,1200.38,CREDIT,ACH,Payment 143,internal
TXN00144,ACC1024,2024-04-21,4006.81,CREDIT,CHECK,Payment 144,internal
TXN00145,ACC1020,2024-04-10,3493.62,CREDIT,ACH,Payment 145,internal
TXN00146,ACC1002,2024-01-15,1016.89,DEBIT,CARD,Payment 146,internal
TXN00147,ACC1013,2024-03-16,3728.49,CREDIT,ATM,Payment 147,internal
TXN00148,ACC1020,2024-03-29,784.51,CREDIT,ACH,Payment 148,internal
TXN00149,ACC1002,2024-03-26,1361.09,DEBIT,ATM,Payment 149,internal
TXN00150,ACC1012,2024-01-07,3061.6,CREDIT,CHECK,Payment 150,internal
TXN00151,ACC1005,2024-04-16,221.33,CREDIT,CHECK,Payment 151,internal
TXN00152,ACC1009,2024-01-12,873.91,DEBIT,ACH,Payment 152,internal
TXN00153,ACC1014,2024-02-25,4900.34,DEBIT,CHECK,Payment 153,internal
TXN00154,ACC1021,2024-03-09,3185.68,CREDIT,ACH,Payment 154,internal
TXN00155,ACC1013,2024-02-06,4730.66,CREDIT,CARD,Payment 155,internal
TXN00156,ACC1006,2024-03-18,3501.88,CREDIT,ATM,Payment 156,internal
TXN00157,ACC1011,2024-03-02,750.71,DEBIT,CARD,Payment 157,internal
TXN00158,ACC1003,2024-01-15,2376.1,DEBIT,ACH,Payment 158,internal
TXN00159,ACC1002,2024-02-06,1397.6,DEBIT,CARD,Payment 159,internal
TXN00160,ACC1010,2024-03-17,3058.83,DEBIT,CARD,Payment 160,internal
TXN00161,ACC1021,2024-01-27,2049.83,DEBIT,CARD,Payment 161,internal
TXN00162,ACC1023,2024-01-05,1592.03,CREDIT,CARD,Payment 162,internal
TXN00163,ACC1003,2024-01-28,2375.92,CREDIT,CARD,Payment 163,internal
TXN00164,ACC1014,2024-03-25,2833.2,DEBIT,CHECK,Payment 164,internal
TXN00165,ACC1015,2024-02-07,3265.64,CREDIT,CHECK,Payment 165,internal
TXN00166,ACC1004,2024-02-21,2750.23,DEBIT,CHECK,Payment 166,internal
TXN00167,ACC1024,2024-03-02,1809.68,DEBIT,CHECK,Payment 167,internal
TXN00168,ACC1003,2024-04-20,4433.15,DEBIT,CARD,Payment 168,internal
TXN00169,ACC1006,2024-04-05,2606.17,CREDIT,WIRE,Payment 169,internal
TXN00170,ACC1009,2024-02-29,4188.54,CREDIT,ACH,Payment 170,internal
TXN00171,ACC1021,2024-04-11,369.58,DEBIT,ACH,Payment 171,internal
TXN00172,ACC1014,2024-02-10,1410.25,CREDIT,ACH,Payment 172,internal
TXN00173,ACC1001,2024-03-30,1576.33,DEBIT,ACH,Payment 173,internal
TXN00174,ACC1017,2024-04-12,4137.6,CREDIT,WIRE,Payment 174,internal
TXN00175,ACC1005,2024-03-13,776.53,DEBIT,ACH,Payment 175,internal
TXN00176,ACC1012,2024-04-25,1830.95,CREDIT,ATM,Payment 176,internal
TXN00177,ACC1010,2024-02-07,3862.8,DEBIT,CHECK,Payment 177,internal
TXN00178,ACC1018,2024-02-16,3529.98,DEBIT,CHECK,Payment 178,internal
TXN00179,ACC1016,2024-01-26,63.53,DEBIT,CARD,Payment 179,internal
TXN00180,ACC1017,2024-01-20,827.12,CREDIT,ATM,Payment 180,internal
TXN00181,ACC1023,2024-03-07,4945.77,CREDIT,ATM,Payment 181,internal
TXN00182,ACC1016,2024-01-17,4951.71,DEBIT,CARD,Payment 182,internal
TXN00183,ACC1008,2024-01-10,1968.94,DEBIT,CHECK,Payment 183,internal
TXN00184,ACC1011,2024-02-26,2174.56,DEBIT,ACH,Payment 184,internal
TXN00185,ACC1006,2024-04-18,912.82,DEBIT,ACH,Payment 185,internal
TXN00186,ACC1004,2024-02-05,1171.93,CREDIT,CARD,Payment 186,internal
TXN00187,ACC1018,2024-02-29,2936.36,CREDIT,ACH,Payment 187,internal
TXN00188,ACC1021,2024-04-11,1225.9,DEBIT,CHECK,Payment 188,internal
TXN00189,ACC1010,2024-03-21,3249.25,DEBIT,CHECK,Payment 189,internal
TXN00190,ACC1018,2024-02-13,299.96,DEBIT,CARD,Payment 190,internal
TXN00191,ACC1023,2024-04-11,1698.9,CREDIT,CARD,Payment 191,internal
TXN00192,ACC1017,2024-04-12,3845.45,CREDIT,CARD,Payment 192,internal
TXN00193,ACC1007,2024-03-11,4548.67,CREDIT,ATM,Payment 193,internal
TXN00194,ACC1014,2024-02-29,1709.55,DEBIT,CARD,Payment 194,internal
TXN00195,ACC1000,2024-02-17,533.85,DEBIT,ATM,Payment 195,internal
TXN00196,ACC1009,2024-01-22,3157.85,CREDIT,WIRE,Payment 196,internal
TXN00197,ACC1006,2024-01-03,966.1,DEBIT,ATM,Payment 197,internal
TXN00198,ACC1010,2024-02-06,2246.55,CREDIT,CARD,Payment 198,internal
TXN00199,ACC1010,2024-02-03,46.5,CREDIT,CHECK,Payment 199,internal
TXN00200,ACC1017,2024-04-27,3172.51,DEBIT,CHECK,Payment 200,internal
TXN00201,ACC1024,2024-04-01,2392.75,DEBIT,ATM,Payment 201,internal
TXN00202,ACC1007,2024-04-25,3606.27,DEBIT,CHECK,Payment 202,internal
TXN00203,ACC1001,2024-01-14,4335.34,DEBIT,CHECK,Payment 203,internal
TXN00204,ACC1016,2024-03-07,2206.04,DEBIT,CHECK,Payment 204,internal
TXN00205,ACC1002,2024-04-28,4849.38,CREDIT,WIRE,Payment 205,internal
TXN00206,ACC1024,2024-03-30,3671.43,DEBIT,WIRE,Payment 206,internal
TXN00207,ACC1007,2024-01-05,628.11,DEBIT,CHECK,Payment 207,internal
TXN00208,ACC1021,2024-04-28,2453.6,DEBIT,CARD,Payment 208,internal
TXN00209,ACC1006,2024-02-19,4889.81,CREDIT,CHECK,Payment 209,internal
TXN00210,ACC1005,2024-03-07,433.25,DEBIT,ATM,Payment 210,internal
TXN00211,ACC1011,2024-04-08,4624.26,CREDIT,ACH,Payment 211,internal
TXN00212,ACC1023,2024-01-06,1869.78,CREDIT,ACH,Payment 212,internal
TXN00213,ACC1019,2024-03-26,3379.78,DEBIT,CHECK,Payment 213,internal
TXN00214,ACC1018,2024-03-29,4328.63,CREDIT,ATM,Payment 214,internal
TXN00215,ACC1022,2024-01-29,254.33,CREDIT,CHECK,Payment 215,internal
TXN00216,ACC1011,2024-01-01,4292.05,DEBIT,CARD,Payment 216,internal
TXN00217,ACC1013,2024-01-04,3389.66,DEBIT,CARD,Payment 217,internal
TXN00218,ACC1015,2024-03-21,4479.22,CREDIT,WIRE,Payment 218,internal
TXN00219,ACC1013,2024-02-11,4265.38,DEBIT,ATM,Payment 219,internal
TXN00220,ACC1017,2024-03-11,1501.73,CREDIT,WIRE,Payment 220,internal
TXN00221,ACC1013,2024-04-16,1381.38,DEBIT,ACH,Payment 221,internal
TXN00222,ACC1016,2024-02-11,433.21,CREDIT,CHECK,Payment 222,internal
TXN00223,ACC1013,2024-04-29,4039.08,DEBIT,WIRE,Payment 223,internal
TXN00224,ACC1013,2024-01-17,2045.63,CREDIT,CARD,Payment 224,internal
TXN00225,ACC1021,2024-03-25,4987.92,DEBIT,CARD,Payment 225,internal
TXN00226,ACC1012,2024-04-19,1967.92,CREDIT,CARD,Payment 226,internal
TXN00227,ACC1002,2024-02-13,680.49,CREDIT,ACH,Payment 227,internal
TXN00228,ACC1013,2024-01-03,1017.88,CREDIT,CARD,Payment 228,internal
TXN00229,ACC1022,2024-02-11,3176.36,CREDIT,CARD,Payment 229,internal
TXN00230,ACC1024,2024-03-31,4796.45,DEBIT,CARD,Payment 230,internal
TXN00231,ACC1008,2024-04-17,1429.86,CREDIT,WIRE,Payment 231,internal
TXN00232,ACC1022,2024-04-19,1633.46,CREDIT,CARD,Payment 232,internal
TXN00233,ACC1005,2024-03-11,3714.17,DEBIT,CHECK,Payment 233,internal
TXN00234,ACC1021,2024-01-29,1503.92,CREDIT,WIRE,Payment 234,internal
TXN00235,ACC1008,2024-04-14,785.65,CREDIT,WIRE,Payment 235,internal
TXN00236,ACC1006,2024-04-05,2811.83,DEBIT,CHECK,Payment 236,internal
TXN00237,ACC1021,2024-02-27,2197.55,DEBIT,ATM,Payment 237,internal
TXN00238,ACC1006,2024-04-07,3376.24,DEBIT,ATM,Payment 238,internal
TXN00239,ACC1011,2024-01-23,3940.07,CREDIT,CARD,Payment 239,internal
TXN00240,ACC1010,2024-03-19,518.45,CREDIT,ATM,Payment 240,internal
TXN00241,ACC1023,2024-02-21,2568.53,CREDIT,ACH,Payment 241,internal
TXN00242,ACC1018,2024-01-13,4799.27,CREDIT,ACH,Payment 242,internal
TXN00243,ACC1014,2024-01-08,1237.87,DEBIT,CARD,Payment 243,internal
TXN00244,ACC1019,2024-02-07,2585.28,CREDIT,ACH,Payment 244,internal
TXN00245,ACC1015,2024-02-16,566.89,DEBIT,ACH,Payment 245,internal
TXN00246,ACC1011,2024-01-25,3493.97,DEBIT,WIRE,Payment 246,internal
TXN00247,ACC1005,2024-02-19,1976.69,CREDIT,ACH,Payment 247,internal
TXN00248,ACC1010,2024-04-13,569.23,CREDIT,ACH,Payment 248,internal
TXN00249,ACC1006,2024-02-28,2545.76,CREDIT,WIRE,Payment 249,internal
TXN00250,ACC1013,2024-04-03,2162.32,CREDIT,ATM,Payment 250,internal
TXN00251,ACC1005,2024-02-08,1309.14,DEBIT,WIRE,Payment 251,internal
TXN00252,ACC1021,2024-03-22,2404.52,CREDIT,WIRE,Payment 252,internal
TXN00253,ACC1006,2024-04-21,1660.37,CREDIT,ACH,Payment 253,internal
TXN00254,ACC1021,2024-03-26,2309.24,CREDIT,ACH,Payment 254,internal
TXN00255,ACC1007,2024-01-17,246.4,CREDIT,ATM,Payment 255,internal
TXN00256,ACC1023,2024-01-23,56.21,DEBIT,ACH,Payment 256,internal
TXN00257,ACC1017,2024-03-15,562.04,CREDIT,WIRE,Payment 257,internal
TXN00258,ACC1005,2024-03-11,2850.37,DEBIT,ATM,Payment 258,internal
TXN00259,ACC1007,2024-04-12,33.66,DEBIT,CHECK,Payment 259,internal
TXN00260,ACC1022,2024-04-02,822.09,DEBIT,ATM,Payment 260,internal
TXN00261,ACC1006,2024-04-20,1278.77,DEBIT,CARD,Payment 261,internal
TXN00262,ACC1022,2024-04-28,3021.09,CREDIT,WIRE,Payment 262,internal
TXN00263,ACC1003,2024-02-08,4067.67,DEBIT,CHECK,Payment 263,internal
TXN00264,ACC1007,2024-01-26,3007.66,DEBIT,CARD,Payment 264,internal
TXN00265,ACC1020,2024-01-10,1595.0,DEBIT,ACH,Payment 265,internal
TXN00266,ACC1009,2024-01-03,1738.93,DEBIT,ACH,Payment 266,internal
TXN00267,ACC1021,2024-03-25,3628.66,CREDIT,CHECK,Payment 267,internal
TXN00268,ACC1003,2024-04-16,1592.59,CREDIT,CARD,Payment 268,internal
TXN00269,ACC1019,2024-01-18,638.87,DEBIT,CHECK,Payment 269,internal
TXN00270,ACC1019,2024-03-01,872.99,CREDIT,ATM,Payment 270,internal
TXN00271,ACC1023,2024-01-02,30.0,DEBIT,ATM,Payment 271,internal
TXN00272,ACC1009,2024-01-16,2927.35,DEBIT,ATM,Payment 272,internal
TXN00273,ACC1010,2024-03-05,4403.1,CREDIT,CHECK,Payment 273,internal
TXN00274,ACC1018,2024-01-07,1373.2,CREDIT,CARD,Payment 274,internal
TXN00275,ACC1008,2024-03-20,1480.83,DEBIT,ATM,Payment 275,internal
TXN00276,ACC1001,2024-03-12,100.62,CREDIT,WIRE,Payment 276,internal
TXN00277,ACC1020,2024-01-31,4370.7,DEBIT,CHECK,Payment 277,internal
TXN00278,ACC1013,2024-02-17,2772.17,DEBIT,CHECK,Payment 278,internal
TXN00279,ACC1019,2024-03-09,3631.59,CREDIT,CHECK,Payment 279,internal
TXN00280,ACC1003,2024-02-20,4917.25,DEBIT,CARD,Payment 280,internal
TXN00281,ACC1000,2024-04-05,72.22,CREDIT,CARD,Payment 281,internal
TXN00282,ACC1023,2024-01-12,2045.73,DEBIT,ATM,Payment 282,internal
TXN00283,ACC1004,2024-03-22,1981.09,CREDIT,ACH,Payment 283,internal
TXN00284,ACC1006,2024-01-22,4808.13,DEBIT,ACH,Payment 284,internal
TXN00285,ACC1024,2024-04-19,4296.32,CREDIT,WIRE,Payment 285,internal
TXN00286,ACC1021,2024-03-29,2354.31,DEBIT,ATM,Payment 286,internal
TXN00287,ACC1010,2024-03-03,1901.47,CREDIT,CHECK,Payment 287,internal
TXN00288,ACC1013,2024-04-03,3658.37,DEBIT,CARD,Payment 288,internal
TXN00289,ACC1019,2024-04-18,532.03,DEBIT,ATM,Payment 289,internal
TXN00290,ACC1012,2024-01-12,3992.51,CREDIT,WIRE,Payment 290,internal
TXN00291,ACC1011,2024-01-03,3720.57,CREDIT,ATM,Payment 291,internal
TXN00292,ACC1020,2024-03-27,1891.95,DEBIT,ATM,Payment 292,internal
TXN00293,ACC1015,2024-02-08,1979.2,CREDIT,CHECK,Payment 293,internal
TXN00294,ACC1009,2024-02-19,2909.14,CREDIT,CHECK,Payment 294,internal
TXN00295,ACC1012,2024-02-26,4677.55,CREDIT,ACH,Payment 295,internal
TXN00296,ACC1009,2024-02-17,1892.26,DEBIT,ACH,Payment 296,internal
TXN00297,ACC1007,2024-03-23,822.73,CREDIT,WIRE,Payment 297,internal
TXN00298,ACC1018,2024-01-30,4774.94,CREDIT,ACH,Payment 298,internal
TXN00299,ACC1014,2024-04-15,3769.99,CREDIT,WIRE,Payment 299,internal
TXN00300,ACC1024,2024-01-23,1018.42,CREDIT,CARD,Payment 300,internal
TXN00301,ACC1011,2024-02-01,2347.4,CREDIT,ACH,Payment 301,internal
TXN00302,ACC1002,2024-04-25,2412.64,CREDIT,CHECK,Payment 302,internal
TXN00303,ACC1022,2024-01-14,2482.58,CREDIT,WIRE,Payment 303,internal
TXN00304,ACC1007,2024-04-01,1480.92,CREDIT,ATM,Payment 304,internal
TXN00305,ACC1002,2024-04-28,4509.19,DEBIT,ATM,Payment 305,internal
TXN00306,ACC1014,2024-01-09,4765.47,CREDIT,ACH,Payment 306,internal
TXN00307,ACC1005,2024-03-07,1529.29,CREDIT,ACH,Payment 307,internal
TXN00308,ACC1018,2024-03-15,4230.53,CREDIT,CARD,Payment 308,internal
TXN00309,ACC1002,2024-01-31,834.9,CREDIT,ACH,Payment 309,internal
TXN00310,ACC1009,2024-03-11,4261.15,DEBIT,CHECK,Payment 310,internal
TXN00311,ACC1021,2024-02-14,1487.2,DEBIT,CARD,Payment 311,internal
TXN00312,ACC1000,2024-04-02,3802.47,CREDIT,WIRE,Payment 312,internal
TXN00313,ACC1010,2024-01-15,4708.28,CREDIT,ATM,Payment 313,internal
TXN00314,ACC1009,2024-02-01,510.97,CREDIT,ATM,Payment 314,internal
TXN00315,ACC1016,2024-02-19,905.67,CREDIT,CARD,Payment 315,internal
TXN00316,ACC1021,2024-03-26,1233.84,CREDIT,ATM,Payment 316,internal
TXN00317,ACC1018,2024-02-10,4374.13,DEBIT,CARD,Payment 317,internal
TXN00318,ACC1008,2024-01-30,1249.55,CREDIT,ACH,Payment 318,internal
TXN00319,ACC1001,2024-04-16,4700.69,CREDIT,CHECK,Payment 319,internal
TXN00320,ACC1007,2024-02-28,2593.13,CREDIT,CARD,Payment 320,internal
TXN00321,ACC1020,2024-02-22,2687.47,CREDIT,ACH,Payment 321,internal
TXN00322,ACC1004,2024-04-24,637.06,CREDIT,CARD,Payment 322,internal
TXN00323,ACC1003,2024-01-20,4766.5,CREDIT,CARD,Payment 323,internal
